binary_splits,confidence_factor,config_laplace,leaves,min_num_obj,num_folds,precision,reduced_error_pruning,save_instance_data,subtree_raising,tree_size,unpruned
True,0.2,False,11.0,8,,21.0,False,True,False,21.0,False
False,0.4,True,31.0,8,,41.0,False,False,True,41.0,False
True,,False,8.0,9,4.0,15.0,True,False,True,15.0,False
False,,False,27.0,9,8.0,33.0,True,False,False,33.0,False
True,0.3,True,15.0,7,,29.0,False,True,False,29.0,False
True,0.7,False,19.0,4,,37.0,False,False,True,37.0,False
True,,False,8.0,7,2.0,15.0,True,True,True,15.0,False
False,0.1,False,37.0,5,,53.0,False,False,False,53.0,False
False,,True,26.0,7,7.0,31.0,True,True,True,31.0,False
True,,True,10.0,6,8.0,19.0,True,True,True,19.0,False
True,,True,13.0,6,3.0,25.0,True,False,False,25.0,False
False,0.6,False,98.0,1,,128.0,False,True,True,128.0,False
True,,False,12.0,9,,23.0,False,True,False,23.0,True
False,,False,65.0,2,,88.0,False,True,False,88.0,True
True,0.1,True,14.0,6,,27.0,False,False,False,27.0,False
False,0.2,False,30.0,9,,39.0,False,True,True,39.0,False
True,,False,12.0,8,6.0,23.0,True,True,True,23.0,False
True,,False,19.0,4,,37.0,False,True,False,37.0,True
False,0.8,True,34.0,7,,47.0,False,True,False,47.0,False
True,,True,15.0,4,4.0,29.0,True,True,False,29.0,False
False,,False,25.0,4,9.0,29.0,True,False,False,29.0,False
False,0.9,True,34.0,7,,47.0,False,True,False,47.0,False
True,,False,13.0,6,6.0,25.0,True,True,False,25.0,False
False,0.4,True,34.0,6,,47.0,False,False,True,47.0,False
True,,True,8.0,7,9.0,15.0,True,True,True,15.0,False
False,,False,26.0,6,7.0,31.0,True,False,False,31.0,False
False,,False,38.0,1,9.0,49.0,True,False,True,49.0,False
False,,True,34.0,5,6.0,42.0,True,True,True,42.0,False
False,0.5,False,34.0,7,,47.0,False,True,False,47.0,False
False,,False,31.0,3,8.0,41.0,True,False,False,41.0,False
True,,False,9.0,9,7.0,17.0,True,True,False,17.0,False
False,0.6,False,70.0,4,,88.0,False,True,False,88.0,False
False,0.2,False,79.0,1,,104.0,False,False,False,104.0,False
True,0.5,False,19.0,4,,37.0,False,True,True,37.0,False
False,,True,74.0,2,2.0,87.0,True,True,False,87.0,False
True,,False,8.0,9,4.0,15.0,True,False,False,15.0,False
True,,True,9.0,8,3.0,17.0,True,True,True,17.0,False
True,0.1,True,14.0,6,,27.0,False,True,True,27.0,False
True,0.3,False,11.0,9,,21.0,False,False,True,21.0,False
True,0.4,True,28.0,2,,55.0,False,False,True,55.0,False
True,0.9,True,39.0,1,,77.0,False,True,False,77.0,False
True,,False,18.0,5,,35.0,False,False,False,35.0,True
False,,False,28.0,4,8.0,35.0,True,False,True,35.0,False
True,0.6,True,29.0,2,,57.0,False,False,True,57.0,False
False,,True,30.0,3,3.0,38.0,True,True,False,38.0,False
False,,False,43.0,3,6.0,54.0,True,True,True,54.0,False
False,0.9,True,65.0,2,,88.0,False,False,False,88.0,False
False,0.8,True,62.0,5,,80.0,False,False,False,80.0,False
True,,False,7.0,8,2.0,13.0,True,False,True,13.0,False
False,,False,26.0,5,7.0,31.0,True,True,True,31.0,False
True,,False,18.0,1,5.0,35.0,True,False,True,35.0,False
True,,False,8.0,4,8.0,15.0,True,True,True,15.0,False
